SUBURB,POSTCODE
BRISBANE,4000
BRISBANE ADELAIDE STREET,4000
BRISBANE CITY,4000
BRISBANE CITY DC,4000
BRISBANE GPO,4000
BRISBANE-CITY,4000
PARLIAMENT HOUSE,4000
PETRIE TERRACE,4000
SPRING HILL,4000
BRISBANE,4001
CENTRAL PLAZA,4001
RIVERSIDE CENTRE,4001
WATERFRONT PLACE,4001
BRISBANE ALBERT STREET BC,4002
WINTERGARDEN,4002
GEORGE STREET,4003
SPRING HILL,4004
NEW FARM,4005
TENERIFFE,4005
BOWEN BRIDGE,4006
BOWEN HILLS,4006
BRISBANE EXHIBITION,4006
FORTITUDE VALLEY,4006
FORTITUDE VALLEY BC,4006
HERSTON,4006
MAYNE,4006
NEWSTEAD,4006
ASCOT,4007
BRISBANE AIRPORT,4007
DOOMBEN,4007
HAMILTON,4007
HAMILTON CENTRAL,4007
WHINSTANES,4007
BRISBANE AIRPORT,4008
BULWER ISLAND,4008
MEEANDAH,4008
MYRTLETOWN,4008
PINKENBA,4008
EAGLE FARM,4009
EAGLE FARM BC,4009
ALBION,4010
ALBION BC,4010
ALBION DC,4010
BREAKFAST CREEK,4010
CLAYFIELD,4011
EAGLE JUNCTION,4011
HENDRA,4011
NUNDAH,4012
TOOMBUL,4012
WAVELL HEIGHTS,4012
WAVELL HEIGHTS NORTH,4012
NORTHGATE,4013
NORTHGATE MC,4013
BANYO,4014
NUDGEE,4014
NUDGEE BEACH,4014
VIRGINIA,4014
VIRGINIA BC,4014
VIRGINIA DC,4014
BRACKEN RIDGE,4017
BRIGHTON,4017
BRIGHTON EVENTIDE,4017
BRIGHTON NATHAN STREET,4017
DEAGON,4017
NASHVILLE,4017
SANDGATE,4017
SANDGATE DC,4017
SHORNCLIFFE,4017
FITZGIBBON,4018
TAIGUM,4018
CLONTARF,4019
CLONTARF BEACH,4019
CLONTARF DC,4019
HUMPYBONG,4019
MARGATE,4019
MARGATE BEACH,4019
SCOTTS POINT,4019
WOODY POINT,4019
NEWPORT,4020
REDCLIFFE,4020
REDCLIFFE NORTH,4020
SCARBOROUGH,4020
KIPPA-RING,4021
ROTHWELL,4022
BULWER,4025
CAPE MORETON,4025
COWAN COWAN,4025
KOORINGAL,4025
MORETON ISLAND,4025
TANGALOOMA,4025
ROYAL BRISBANE HOSPITAL,4029
EILDON HILL,4030
